rating,reviews,amenities,price,country,bathrooms,beds,guests,toiles,bedrooms,studios,latitude,longitude
4.63,8.0,"Pets allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2598, Philippines,1,1,3,0,0,0,15.0610588,120.0702767
4.67,4.0,"Waterfront,Free parking on premises,Shared pool,Indoor fireplace,Breakfast,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4000, India,3,6,4,0,3,0,27.072371,88.19806
0.0,0.0,"Kitchen,Wifi,Free parking on premises,Pool,Hot tub,TV,Washing machine,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",10839, Turkey,2,3,4,0,2,0,36.1993752,29.6413365
5.0,8.0,"Lake view,Mountain view,Waterfront,Kitchen,Dedicated workspace,Pets allowed,Bath,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",6181, Philippines,2,2,5,0,1,0,14.2453833,121.5070018
5.0,8.0,"Free parking on premises,Cot,Breakfast,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",8559, India,1,2,2,0,0,0,15.9881725,73.5273309
5.0,4.0,"Garden view,Mountain view,Waterfront,Kitchen,Dedicated workspace,Free parking on premises,Private outdoor pool,Pets allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4871, Philippines,1,2,2,0,1,0,14.7464641,121.6490904
0.0,1.0,"Park view,Resort view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Shared pool,Pets allowed,TV,Washing machine",22758, Georgia,1,2,4,0,2,0,42.0180524,43.5629931
0.0,0.0,"Mountain view,River view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5023, Turkey,1,4,2,0,1,0,36.8865728,30.7030242
4.91,33.0,"Beach access – Beachfront,Kitchen,Wifi,Free parking on premises,Hot tub,TV,Washing machine,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",23852, Israel,1,2,4,0,2,0,32.505968,34.9062151
0.0,0.0,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",8472,Turkey,2,4,6,0,3,0,39.294076,35.2316631
0.0,1.0,"Free parking on premises,Pool,Air conditioning,Garden,Luggage drop-off allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4780, Philippines,0,1,2,0,1,0,14.2974791,121.4590515
0.0,0.0,"Kitchen,Wifi,Free parking on premises,Private pool,TV,Air conditioning,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",43866, Philippines,5,8,16,0,5,0,14.4442564,120.9035435
0.0,1.0,"Kitchen,Wifi,Free parking on premises,Pool,Hot tub,TV,Washing machine,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",7846, Turkey,1,1,2,0,1,0,36.1993752,29.6413365
5.0,3.0,"Lake access,Free on-street parking,Pets allowed,Garden,Luggage drop-off allowed,Refrigerator,Breakfast,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4183, India,4,2,2,0,2,0,32.2143039,76.3196717
5.0,11.0,"Kitchen,Wifi,Free parking on premises,Pets allowed,TV with standard cable/satellite,EV charger,Washing machine,Dryer,Patio or balcony,Garden",1553, Vietnam,1,1,2,0,1,0,11.6614957,108.1335279
5.0,12.0,"Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",3025, Thailand,1,1,2,0,0,0,12.68095,101.25798
0.0,0.0,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",11189, Turkey,2,3,4,0,2,0,36.1993752,29.6413365
0.0,0.0,"Kitchen,Dedicated workspace,Free on-street parking,Washing machine,Bath,Private patio or balcony,Luggage drop-off allowed,Hair dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2740, Georgia,1,0,5,0,0,0,41.7510862,43.5280065
0.0,0.0,"Lake view,Mountain view,Wifi,Dedicated workspace,Free parking on premises,HDTV with Netflix,AC – split-type ductless system,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",9689, Turkey,1,1,2,0,1,0,40.6930538,30.27344
0.0,1.0,"Mountain view,Garden view,Kitchen,Wifi – 8 Mbps,Dedicated workspace,Free parking on premises,HDTV with Netflix,AC – split-type ductless system,Indoor fireplace,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",16457, Turkey,1,1,2,0,1,0,40.6930538,30.27344
5.0,4.0,"Lake view,Mountain view,Waterfront,Kitchen,Free parking on premises,Pets allowed,Private patio or balcony,Shared backyard – Not fully fenced,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4221, Philippines,0,2,5,0,0,0,14.2453833,121.5070018
0.0,1.0,"Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub,Pets allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",6315, Turkey,1,1,2,0,1,0,36.1993752,29.6413365
0.0,2.0,"Mountain view,Beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV with standard cable/satellite,Free washer – In unit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4898, Turkey,1,3,5,0,2,0,36.3965579,30.4735419
5.0,4.0,"Beach access – Beachfront,Kitchen,Wifi,Free parking on premises,TV,Air conditioning,Hair dryer,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4034, South Korea,1,0,4,0,0,0,36.77259,126.17916
4.75,4.0,"Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Washing machine,Shared backyard – Not fully fenced,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5135, India,1,1,2,0,1,0,31.5922834,77.3526223
5.0,3.0,"Kitchen,Wifi,Washing machine,Dryer,Air conditioning,Bath,Patio or balcony,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",9103, Georgia,1,2,4,0,1,0,42.585344,43.4427287
0.0,0.0,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool – available seasonally,Private hot tub,TV,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",13798, Turkey,1,3,5,0,2,0,40.6930538,30.27344
0.0,2.0,"Waterfront,Kitchen,Wifi – 27 Mbps,Dedicated workspace,Free parking on premises,Pets allowed,Air conditioning,Luggage drop-off allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",3186, Vietnam,1,1,2,0,1,0,20.7969968,106.8905903
5.0,3.0,"Wifi,Free parking on premises,Private hot tub,Pets allowed,TV,Air conditioning,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",7191, Armenia,1,1,2,0,0,0,40.2964841,44.5952192
0.0,1.0,"Sea view,Mountain view,Beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Shared pool,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",40665, Philippines,2,5,15,0,5,0,13.2926072,123.7912494
5.0,3.0,"Kitchen,Wifi,Free on-street parking,Free washing machine,Free dryer,Central air conditioning,Bath,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",9103, Georgia,1,2,4,0,1,0,42.585344,43.4427287
0.0,0.0,"Kitchen,Wifi,Free parking on premises,Pool,Hot tub,TV,Washing machine,Air conditioning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",8843, Turkey,1,1,2,0,1,0,36.1993752,29.6413365
0.0,0.0,"Kitchen,Dedicated workspace,Pets allowed,TV,Indoor fireplace,Fire pit,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",11038, Turkey,1,3,6,0,1,0,41.1657342,40.954446
4.88,18.0,"Waterfront,Free parking on premises,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",8559, India,1,3,3,0,3,0,15.8563,73.6353
0.0,0.0,"Waterfront,Garden,Hair dryer,Refrigerator,Breakfast,Long-term stays allowed,Security cameras on property,Unavailable: Smoke alarmSmoke alarm",16708, Turkey,1,0,6,0,2,0,41.045571,41.0056974
0.0,2.0,"Lake view,Mountain view,Waterfront,Kitchen,Dedicated workspace,Private pool,Pets allowed,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5409, Philippines,1,5,6,0,1,0,14.2453833,121.5070018
0.0,0.0,"Garden view,Mountain view,Wifi – 11 Mbps,Dedicated workspace,Free parking on premises,Private pool,Pets allowed,32"" HDTV with Amazon Prime Video, Fire TV, Netflix, cable/satellite TV, standard cable/satellite,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",5067, Turkey,1,4,4,0,2,0,37.1642053,28.2624288
4.94,16.0,"Kitchen,Free parking on premises,Pets allowed,Patio or balcony,Garden,Breakfast,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1903, Cyprus,0,1,2,1,0,0,34.8236254,32.5832481
4.82,11.0,"Wifi,Free parking on premises,Pets allowed,Air conditioning,Hair dryer,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",4476, Taiwan,1,1,2,0,1,0,22.99083,120.21333
0.0,0.0,"Mountain view,Valley view,Wifi,Free parking on premises,Pets allowed,Washing machine,Bath,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",6505, India,1,1,2,0,1,0,29.3965796,79.6639466
